Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"chrome.exe",38,0,"100,00","0,00","",
0,"[chrome.dll]",34,0,"89,47","0,00","chrome.dll",
1,"[chrome.dll]",34,0,"89,47","0,00","chrome.dll",
2,"[chrome.dll]",34,0,"89,47","0,00","chrome.dll",
3,"[chrome.dll]",34,0,"89,47","0,00","chrome.dll",
4,"[chrome.dll]",34,0,"89,47","0,00","chrome.dll",
5,"[chrome.dll]",34,0,"89,47","0,00","chrome.dll",
6,"[chrome.dll]",34,0,"89,47","0,00","chrome.dll",
7,"[chrome.dll]",32,0,"84,21","0,00","chrome.dll",
8,"[chrome.dll]",24,0,"63,16","0,00","chrome.dll",
9,"[chrome.dll]",22,0,"57,89","0,00","chrome.dll",
10,"[chrome.dll]",20,0,"52,63","0,00","chrome.dll",
11,"[chrome.dll]",20,2,"52,63","5,26","chrome.dll",
12,"[chrome.dll]",18,0,"47,37","0,00","chrome.dll",
13,"[chrome.dll]",18,2,"47,37","5,26","chrome.dll",
14,"[chrome.dll]",16,1,"42,11","2,63","chrome.dll",
15,"[chrome.dll]",15,0,"39,47","0,00","chrome.dll",
16,"[chrome.dll]",15,1,"39,47","2,63","chrome.dll",
17,"[chrome.dll]",14,0,"36,84","0,00","chrome.dll",
18,"[chrome.dll]",14,1,"36,84","2,63","chrome.dll",
19,"[chrome.dll]",12,0,"31,58","0,00","chrome.dll",
20,"[chrome.dll]",11,0,"28,95","0,00","chrome.dll",
21,"[chrome.dll]",11,1,"28,95","2,63","chrome.dll",
22,"[chrome.dll]",10,0,"26,32","0,00","chrome.dll",
23,"[chrome.dll]",9,0,"23,68","0,00","chrome.dll",
24,"[chrome.dll]",9,0,"23,68","0,00","chrome.dll",
25,"[chrome.dll]",9,0,"23,68","0,00","chrome.dll",
26,"[chrome.dll]",9,1,"23,68","2,63","chrome.dll",
27,"[chrome.dll]",7,0,"18,42","0,00","chrome.dll",
28,"[chrome.dll]",7,0,"18,42","0,00","chrome.dll",
29,"[chrome.dll]",7,0,"18,42","0,00","chrome.dll",
30,"[chrome.dll]",7,0,"18,42","0,00","chrome.dll",
31,"[chrome.dll]",7,0,"18,42","0,00","chrome.dll",
32,"[chrome.dll]",7,0,"18,42","0,00","chrome.dll",
33,"[chrome.dll]",7,0,"18,42","0,00","chrome.dll",
34,"[chrome.dll]",7,1,"18,42","2,63","chrome.dll",
35,"[chrome.dll]",6,0,"15,79","0,00","chrome.dll",
36,"[chrome.dll]",6,0,"15,79","0,00","chrome.dll",
37,"[chrome.dll]",6,0,"15,79","0,00","chrome.dll",
38,"[chrome.dll]",6,0,"15,79","0,00","chrome.dll",
