Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[chrome.dll]",11,"27,50",38,"95,00",0,0,0,0,
"[winhttp.dll]",8,"20,00",8,"20,00",0,0,0,0,
"[ws2_32.dll]",7,"17,50",7,"17,50",0,0,0,0,
"[KernelBase.dll]",6,"15,00",6,"15,00",0,0,0,0,
"[user32.dll]",3,"7,50",3,"7,50",0,0,0,0,
"[ntdll.dll]",2,"5,00",2,"5,00",0,0,0,0,
"[TextInputFramework.dll]",1,"2,50",1,"2,50",0,0,0,0,
"[win32u.dll]",1,"2,50",1,"2,50",0,0,0,0,
"[WinTypes.dll]",1,"2,50",1,"2,50",0,0,0,0,
"[chrome.exe]",0,"0,00",4,"10,00",0,0,0,0,
