Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Process",0,0,"ntoskrnl.exe","0,00","17.540,61","17.540,61",
"Thread",0,0,"Unknown","0,00","17.540,61","17.540,61",
"Thread",1,0,"Unknown","0,00","17.540,61","17.540,61",
"Thread",2,0,"Unknown","0,00","17.540,61","17.540,61",
"Thread",3,0,"Unknown","0,00","17.540,61","17.540,61",
"Thread",4,0,"Unknown","135,95","17.540,61","17.404,66",
"Thread",5,0,"Unknown","135,95","17.540,61","17.404,66",
"Thread",6,0,"Unknown","135,95","17.540,61","17.404,66",
"Thread",7,0,"Unknown","135,95","17.540,61","17.404,66",
"Process",1,13956,"chrome.exe","86,84","17.592,68","17.505,84",
"Thread",8,4644,"Unknown","86,84","17.592,66","17.505,82",
"Thread",9,10412,"Unknown","86,84","17.592,66","17.505,82",
"Thread",10,5388,"Unknown","86,84","17.592,66","17.505,82",
"Thread",11,1332,"Unknown","86,84","17.592,67","17.505,82",
"Thread",12,10176,"Unknown","86,84","17.592,67","17.505,82",
"Thread",13,7532,"Unknown","86,84","17.592,67","17.505,82",
"Thread",14,8128,"Unknown","86,84","17.592,67","17.505,82",
"Thread",15,680,"Unknown","86,84","17.592,67","17.505,82",
"Thread",16,6272,"Unknown","86,84","17.592,67","17.505,82",
"Thread",17,12776,"Unknown","86,84","17.592,67","17.505,82",
"Thread",18,13868,"Unknown","86,85","17.592,67","17.505,82",
"Thread",19,12936,"Unknown","86,85","17.592,67","17.505,82",
"Thread",20,5152,"Unknown","86,85","17.592,67","17.505,82",
"Thread",21,14008,"Unknown","86,85","17.592,67","17.505,82",
"Thread",22,8308,"Unknown","86,85","17.592,67","17.505,82",
"Thread",23,13616,"Unknown","86,85","17.592,67","17.505,82",
"Thread",24,2800,"Unknown","86,85","17.592,67","17.505,82",
"Thread",25,3584,"Unknown","86,85","17.592,67","17.505,82",
"Thread",26,9980,"Unknown","86,85","17.592,67","17.505,82",
"Thread",27,4184,"Unknown","86,85","17.592,67","17.505,82",
"Thread",28,1816,"Unknown","86,85","17.592,67","17.505,82",
"Thread",29,9200,"Unknown","86,85","17.592,67","17.505,82",
"Thread",30,11452,"Unknown","86,85","17.592,67","17.505,82",
"Thread",31,1904,"Unknown","86,86","17.592,67","17.505,82",
"Thread",32,8840,"Unknown","86,86","17.592,68","17.505,82",
"Thread",33,2960,"Unknown","86,86","17.592,68","17.505,82",
"Thread",34,4000,"Unknown","86,86","17.592,68","17.505,82",
"Thread",35,15032,"Unknown","86,86","17.592,68","17.505,82",
"Thread",36,2332,"Unknown","86,86","17.592,68","17.505,82",
"Thread",37,4644,"Unknown","199,39","17.592,66","17.393,27",
"Thread",38,10412,"Unknown","199,39","17.592,66","17.393,27",
"Thread",39,5388,"Unknown","199,39","17.592,66","17.393,27",
"Thread",40,1332,"Unknown","199,39","17.592,67","17.393,27",
"Thread",41,10176,"Unknown","199,39","17.592,67","17.393,27",
"Thread",42,7532,"Unknown","199,39","17.592,67","17.393,27",
"Thread",43,8128,"Unknown","199,39","17.592,67","17.393,27",
"Thread",44,680,"Unknown","199,39","17.592,67","17.393,27",
"Thread",45,6272,"Unknown","199,39","17.592,67","17.393,27",
"Thread",46,12776,"Unknown","199,40","17.592,67","17.393,27",
"Thread",47,13868,"Unknown","199,40","17.592,67","17.393,27",
"Thread",48,12936,"Unknown","199,40","17.592,67","17.393,27",
"Thread",49,5152,"Unknown","199,40","17.592,67","17.393,27",
"Thread",50,14008,"Unknown","199,40","17.592,67","17.393,27",
"Thread",51,8308,"Unknown","199,40","17.592,67","17.393,27",
"Thread",52,13616,"Unknown","199,40","17.592,67","17.393,27",
"Thread",53,2800,"Unknown","199,40","17.592,67","17.393,27",
"Thread",54,3584,"Unknown","199,40","17.592,67","17.393,27",
"Thread",55,9980,"Unknown","199,40","17.592,67","17.393,27",
