Unique Process ID,Process ID,Unique Thread ID,Thread ID,Thread Name,Thread Begin Time,Thread End Time,Thread Start Address,Life Time,
0,0,0,0,"Unknown","0,00","17.540,61",18.446.735.290.574.514.048,"17.540,61",
0,0,1,0,"Unknown","0,00","17.540,61",18.446.735.290.574.514.048,"17.540,61",
0,0,2,0,"Unknown","0,00","17.540,61",18.446.735.290.574.514.048,"17.540,61",
0,0,3,0,"Unknown","0,00","17.540,61",18.446.735.290.574.514.048,"17.540,61",
0,0,4,0,"Unknown","135,95","17.540,61",18.446.735.290.574.514.048,"17.404,66",
0,0,5,0,"Unknown","135,95","17.540,61",18.446.735.290.574.514.048,"17.404,66",
0,0,6,0,"Unknown","135,95","17.540,61",18.446.735.290.574.514.048,"17.404,66",
0,0,7,0,"Unknown","135,95","17.540,61",18.446.735.290.574.514.048,"17.404,66",
1,13956,8,4644,"Unknown","86,84","17.592,66",140.695.878.064.848,"17.505,82",
1,13956,9,10412,"Unknown","86,84","17.592,66",140.726.388.810.544,"17.505,82",
1,13956,10,5388,"Unknown","86,84","17.592,66",140.695.877.397.360,"17.505,82",
1,13956,11,1332,"Unknown","86,84","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,12,10176,"Unknown","86,84","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,13,7532,"Unknown","86,84","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,14,8128,"Unknown","86,84","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,15,680,"Unknown","86,84","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,16,6272,"Unknown","86,84","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,17,12776,"Unknown","86,84","17.592,67",140.726.388.810.544,"17.505,82",
1,13956,18,13868,"Unknown","86,85","17.592,67",140.726.388.810.544,"17.505,82",
1,13956,19,12936,"Unknown","86,85","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,20,5152,"Unknown","86,85","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,21,14008,"Unknown","86,85","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,22,8308,"Unknown","86,85","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,23,13616,"Unknown","86,85","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,24,2800,"Unknown","86,85","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,25,3584,"Unknown","86,85","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,26,9980,"Unknown","86,85","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,27,4184,"Unknown","86,85","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,28,1816,"Unknown","86,85","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,29,9200,"Unknown","86,85","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,30,11452,"Unknown","86,85","17.592,67",140.725.895.761.120,"17.505,82",
1,13956,31,1904,"Unknown","86,86","17.592,67",140.724.929.620.064,"17.505,82",
1,13956,32,8840,"Unknown","86,86","17.592,68",140.724.929.620.064,"17.505,82",
1,13956,33,2960,"Unknown","86,86","17.592,68",140.724.929.620.064,"17.505,82",
1,13956,34,4000,"Unknown","86,86","17.592,68",140.726.316.954.288,"17.505,82",
1,13956,35,15032,"Unknown","86,86","17.592,68",140.726.388.810.544,"17.505,82",
1,13956,36,2332,"Unknown","86,86","17.592,68",140.724.929.620.064,"17.505,82",
1,13956,37,4644,"Unknown","199,39","17.592,66",140.695.878.064.848,"17.393,27",
1,13956,38,10412,"Unknown","199,39","17.592,66",140.726.388.810.544,"17.393,27",
1,13956,39,5388,"Unknown","199,39","17.592,66",140.695.877.397.360,"17.393,27",
1,13956,40,1332,"Unknown","199,39","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,41,10176,"Unknown","199,39","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,42,7532,"Unknown","199,39","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,43,8128,"Unknown","199,39","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,44,680,"Unknown","199,39","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,45,6272,"Unknown","199,39","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,46,12776,"Unknown","199,40","17.592,67",140.726.388.810.544,"17.393,27",
1,13956,47,13868,"Unknown","199,40","17.592,67",140.726.388.810.544,"17.393,27",
1,13956,48,12936,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,49,5152,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,50,14008,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,51,8308,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,52,13616,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,53,2800,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,54,3584,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,55,9980,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,56,4184,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,57,1816,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,58,9200,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,59,11452,"Unknown","199,40","17.592,67",140.725.895.761.120,"17.393,27",
1,13956,60,1904,"Unknown","199,40","17.592,67",140.724.929.620.064,"17.393,27",
1,13956,61,8840,"Unknown","199,40","17.592,68",140.724.929.620.064,"17.393,27",
1,13956,62,2960,"Unknown","199,40","17.592,68",140.724.929.620.064,"17.393,27",
1,13956,63,4000,"Unknown","199,40","17.592,68",140.726.316.954.288,"17.393,27",
1,13956,64,15032,"Unknown","199,40","17.592,68",140.726.388.810.544,"17.393,27",
1,13956,65,2332,"Unknown","199,40","17.592,68",140.724.929.620.064,"17.393,27",
2,0,66,0,"Unknown","0,00","17.540,61",18.446.735.290.574.514.048,"17.540,61",
2,0,67,0,"Unknown","0,00","17.540,61",18.446.735.290.574.514.048,"17.540,61",
2,0,68,0,"Unknown","0,00","17.540,61",18.446.735.290.574.514.048,"17.540,61",
2,0,69,0,"Unknown","0,00","17.540,61",18.446.735.290.574.514.048,"17.540,61",
2,0,70,0,"Unknown","135,95","17.540,61",18.446.735.290.574.514.048,"17.404,66",
2,0,71,0,"Unknown","135,95","17.540,61",18.446.735.290.574.514.048,"17.404,66",
2,0,72,0,"Unknown","135,95","17.540,61",18.446.735.290.574.514.048,"17.404,66",
2,0,73,0,"Unknown","135,95","17.540,61",18.446.735.290.574.514.048,"17.404,66",
3,13956,74,4644,"Unknown","86,84","17.592,66",140.695.878.064.848,"17.505,82",
3,13956,75,10412,"Unknown","86,84","17.592,66",140.726.388.810.544,"17.505,82",
3,13956,76,5388,"Unknown","86,84","17.592,66",140.695.877.397.360,"17.505,82",
3,13956,77,1332,"Unknown","86,84","17.592,67",140.724.929.620.064,"17.505,82",
3,13956,78,10176,"Unknown","86,84","17.592,67",140.724.929.620.064,"17.505,82",
3,13956,79,7532,"Unknown","86,84","17.592,67",140.724.929.620.064,"17.505,82",
3,13956,80,8128,"Unknown","86,84","17.592,67",140.724.929.620.064,"17.505,82",
